NUMCP;NOMAGENT;PRENOM;ID Etablissement;ID UO;Régime;Assermentation;CODEGRADE;DATEDEBUTGRADE;DATEFINGRADE;CODENIVEAU;DATEDEBUTNIVEAU;DATEFINNIVEAU;CODEQUALIFICATION;DATEDEBUTQUALIF;DATEFINQUALIF;CODEPOSITION;DATEDEBUTPOSITION;DATEFINPOSITION;CODEECHELON;DATEDEBUTECHELON;DATEFINECHELON;Famille;Date début Famille;Date fin Famille;Typologie Agent;Date début Typologie;Date fin Typologie;Equipe;Date début Equipe;Date Fin Equipe;Résidence;Date début Résidence;Date fin Résidence;Date début en Production;Compétence Langue 1;Date début Comp Langue 1;Date fin Comp Langue 1;Compétence Langue 2;Date début Comp Langue 2;Date fin Comp Langue 2;Compténce Train 1;Date début Comp Train 1;Date fin Comp Train 1;Compténce Train 2;Date début Comp Train 2;Date début Comp Train 2;Compétence Traction 1;Date début Comp Traction 1;Date fin Comp Traction 1;Point de Vente;N° de recette;Tél Complémentaire
2111799F;NOM ASCT 19;JEAN-PAUL;390112;390001;R;O;CBORP;06/07/2015;31/12/2300;1;01/10/1999;31/12/2300;C;01/10/1999;31/12/2300;15;06/07/2015;31/12/2300;10;06/07/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;02/06/2000;SP;01/04/2000;31/12/2300;AB;01/04/2000;31/12/2300;TGVD;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;34567900;40;645859583
2106261P;DUO1 ESV;PRENOM;390112;390001;R;O;CBORM;01/08/2012;31/12/2300;1;01/03/1999;31/12/2300;C;01/03/1999;31/12/2300;15;01/08/2012;31/12/2300;9;01/05/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;F;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;03/06/2000;SP;01/04/2000;31/12/2300;AB;01/04/2000;31/12/2300;TGVD;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;34567900;41;645859584
2104663T;NOM ASCT 20;FABRICE;390112;390001;R;O;ACT;01/07/2000;31/12/2300;1;01/04/1998;31/12/2300;B;01/04/1998;31/12/2300;6;01/04/2003;31/12/2300;3;01/10/2002;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;04/06/2000;SP;01/04/2000;31/12/2300;AB;01/04/2000;31/12/2300;TGVD;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;34567900;42;645859585
2105958A;NOM ASCT 21;PATRICE;390112;390001;R;O;ACTP;01/10/2000;31/12/2300;2;01/04/2000;31/12/2300;B;01/04/1999;31/12/2300;8;01/10/2000;31/12/2300;3;01/10/2003;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;05/06/2000;SP;01/04/2000;31/12/2300;AB;01/04/2000;31/12/2300;TGVD;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;34567900;43;645859586
2114612X;NOM ASCT 22;FREDERIC;390112;390001;R;O;CBORM;01/07/2013;31/12/2300;1;01/07/1998;31/12/2300;C;01/07/1998;31/12/2300;15;01/07/2013;31/12/2300;10;01/06/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;06/06/2000;SP;01/04/2000;31/12/2300;AB;01/04/2000;31/12/2300;TGVD;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;34567900;44;645859587
2111522S;NOM ASCT 23;FREDERIC;390112;390001;R;O;CBORP;01/04/2013;31/12/2300;1;01/11/2001;31/12/2300;C;01/11/2001;31/12/2300;13;01/04/2013;31/12/2300;8;01/04/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;07/06/2000;SP;01/04/2000;31/12/2300;AB;01/04/2000;31/12/2300;TGVD;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;34567900;45;645859588
2104444E;NOM ASCT 24;BRAHIM;390112;390001;R;O;CBOR;01/04/2004;31/12/2300;1;01/05/2001;31/12/2300;C;01/05/2001;31/12/2300;10;01/04/2004;31/12/2300;3;20/04/2005;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;11;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;08/06/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;TGVD;01/04/2000;31/12/2300;RRR;01/04/2000;31/12/2300;;;;34567900;46;645859589
2101270P;NOM ASCT 25;CHRISTOPHE;390112;390001;FE;N;TCP;01/01/2009;31/12/2300;1;01/07/2008;31/12/2300;A;01/07/2008;31/12/2300;18;01/01/2009;31/12/2300;9;01/09/2010;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;09/06/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;TGVN;01/04/2000;31/12/2300;;;;;;;12345678;19;645859590
2109553S;NOM ASCT 27;SEBASTIEN;390112;390001;R;O;CBORP;01/04/2012;31/12/2300;1;01/02/2004;31/12/2300;C;01/02/2004;31/12/2300;12;01/04/2012;31/12/2300;6;01/06/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;10/06/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;TGVN;01/04/2000;31/12/2300;;;;;;;12345678;20;645859591
2111862R;NOM ASCT 28;MARC;390112;390001;R;O;CBORP;07/02/2011;31/12/2300;1;01/09/2002;31/12/2300;C;01/09/2002;31/12/2300;12;07/02/2011;31/12/2300;6;01/06/2003;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;11/06/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;TGVN;01/04/2000;31/12/2300;;;;;;;12345678;21;645859592
2108790Z;NOM ASCT 29;SOULEF;390112;390001;R;O;ACTP;31/01/2011;31/12/2300;2;01/01/2002;31/12/2300;B;01/01/2002;31/12/2300;9;31/01/2011;31/12/2300;1;01/01/2003;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;12/06/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;TGVN;01/04/2000;31/12/2300;;;;;;;12345678;22;645859593
2117197C;NOM ASCT 30;XAVIER;390112;390001;FS;N;TC;01/10/2008;31/12/2300;1;01/07/2008;31/12/2300;A;01/07/2008;31/12/2300;16;01/10/2008;31/12/2300;1;01/07/2008;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;12;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;13/06/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;TGVN;01/04/2000;31/12/2300;;;;;;;12345678;23;645859594
2204991G;NOM ADC 01;BENJAMIN;390112;390002;R;O;CBOR;07/02/2011;31/12/2300;1;01/05/2001;31/12/2300;B;01/05/2001;31/12/2300;9;07/02/2011;31/12/2300;2;01/05/2003;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;13;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;14/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;34567900;1;645859595
2214694Y;NOM ADC 02;PHILIPPE;390112;390002;R;O;CBORP;07/02/2011;31/12/2300;1;01/05/2003;31/12/2300;C;01/05/2003;31/12/2300;12;07/02/2011;31/12/2300;6;01/04/2004;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;13;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;15/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;34567900;2;645859596
2205438U;NOM ADC 03;ARNAULT;390112;390002;R;O;CBOR;02/02/2011;31/12/2300;2;01/01/2001;31/12/2300;B;01/09/1997;31/12/2300;10;02/02/2011;31/12/2300;4;01/11/2003;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;13;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;16/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;34567900;3;645859597
2204724K;NOM ADC 04;LUDOVIC;390112;390002;R;O;CBORM;01/11/2011;31/12/2300;1;01/06/1999;31/12/2300;C;01/06/1999;31/12/2300;14;01/11/2011;31/12/2300;8;01/01/2011;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;13;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;17/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;34567900;4;645859598
2202179S;NOM ADC 05;CLAIRE;390112;390002;R;O;CBORM;01/04/2016;31/12/2300;2;01/03/2002;31/12/2300;B;01/05/2001;31/12/2300;14;01/04/2016;31/12/2300;6;01/05/2014;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;13;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;18/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;34567900;5;645859599
2209097A;NOM ADC 06;BRUNO;390112;390002;R;O;CBORP;01/04/2017;31/12/2300;2;01/11/1999;31/12/2300;B;01/02/1999;31/12/2300;13;01/04/2017;31/12/2300;6;01/02/2012;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;14;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;19/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;23456789;1;645859600
2207675C;NOM ADC 07;DOMINIQUE;390112;390002;R;O;CBORMP;01/07/2015;31/12/2300;2;01/10/2000;31/12/2300;C;01/10/1993;31/12/2300;16;01/07/2015;31/12/2300;10;01/09/2011;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;14;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;20/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;23456789;2;645859601
2201348Y;NOM ADC 08;CYRILLE;390112;390002;R;O;CBORP;01/07/2017;31/12/2300;2;01/09/1999;31/12/2300;B;01/09/1998;31/12/2300;12;01/07/2017;31/12/2300;6;01/09/2011;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;14;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;21/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;23456789;3;645859602
2206241S;NOM ADC 09;STEPHANE;390112;390002;R;O;CBORM;01/03/2016;31/12/2300;1;01/04/2004;31/12/2300;C;01/04/2004;31/12/2300;14;01/03/2016;31/12/2300;7;01/04/2014;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;14;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;22/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;23456789;4;645859603
2210374F;NOM ADC 10;PIERRE;390112;390002;R;O;CBORM;01/10/2011;31/12/2300;1;01/03/2001;31/12/2300;C;01/03/2001;31/12/2300;13;01/10/2011;31/12/2300;6;01/09/2011;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;14;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;23/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;23456789;5;645859604
2206245W;NOM ADC 11;STEPHANIE;390112;390002;R;O;CBORM;01/05/2017;31/12/2300;1;01/04/2004;31/12/2300;C;01/04/2004;31/12/2300;15;01/05/2017;31/12/2300;7;01/03/2014;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;15;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;24/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;23456789;6;645859605
2202850N;NOM ADC 12;SOPHIE;390112;390002;FE;N;TCP;01/10/2010;31/12/2300;1;01/07/2008;31/12/2300;A;01/07/2008;31/12/2300;18;01/10/2010;31/12/2300;5;01/10/2010;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;15;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;25/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;23456789;7;645859606
2202001Y;NOM ADC 13;STEPHANIE;390112;390002;R;O;CBOR;01/04/2014;31/12/2300;1;01/04/2003;31/12/2300;B;01/04/2003;31/12/2300;11;01/04/2014;31/12/2300;5;01/04/2014;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;15;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;26/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;23456789;8;645859607
2208764T;NOM ADC 14;ANTHONY;390112;390002;R;O;CBORP;01/04/2015;31/12/2300;1;01/08/2000;31/12/2300;C;01/08/2000;31/12/2300;13;01/04/2015;31/12/2300;7;01/08/2014;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;15;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;27/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;23456789;9;645859608
2211328W;NOM ADC 15;ANDRE;390112;390002;R;O;CBORM;01/04/2017;31/12/2300;2;01/09/2001;31/12/2300;B;01/09/2001;31/12/2300;13;01/04/2017;31/12/2300;6;01/09/2015;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;15;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;28/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;23456789;10;645859609
2204457T;NOM ADC 16;JEAN PAUL;390112;390002;R;O;CBORMP;01/04/2015;31/12/2300;1;01/07/1998;31/12/2300;C;01/07/1998;31/12/2300;17;01/04/2015;31/12/2300;10;01/07/2009;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;13;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;29/06/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;34567900;6;645859610
2209051B;NOM ADC 17;EMMANUEL;390112;390002;R;O;CBOR;01/04/2010;31/12/2300;1;01/04/2002;31/12/2300;C;01/04/2002;31/12/2300;11;01/04/2010;31/12/2300;6;01/01/2004;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;13;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;30/06/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;TGVN;01/04/2000;31/12/2300;;;;;;;34567900;7;645859611
2208339G;NOM ADC 18;CHRISTINE;390112;390002;A;N;AAD;01/07/2008;31/12/2300;1;01/07/2008;31/12/2300;A;01/07/2008;31/12/2300;2;01/07/2008;31/12/2300;8;01/02/2012;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;13;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;01/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;TGVN;01/04/2000;31/12/2300;;;;;;;34567900;8;645859612
2202241Y;NOM UO 390002 RET3 OBS;PAUL;390112;390002;R;O;CBORM;01/04/2014;31/12/2300;1;01/12/2001;31/12/2300;C;01/12/2001;31/12/2300;14;01/04/2014;31/12/2300;7;01/11/2013;31/12/2300;ADC;01/04/2000;31/12/2300;D;01/04/2000;31/12/2300;13;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;02/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;TGVN;01/04/2000;31/12/2300;;;;;;;34567900;9;645859613
2206765R;NOM ADC 20;FARID;390112;390002;R;O;CBORM;01/12/2016;31/12/2300;2;01/01/2004;31/12/2300;B;01/11/1996;31/12/2300;14;01/12/2016;31/12/2300;7;01/07/2015;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;13;01/04/2000;31/12/2300;NS;01/04/2000;31/12/2300;03/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;TGVN;01/04/2000;31/12/2300;;;;;;;34567900;10;645859614
